,region,townsize,gender,age,ed,jobcat,union,employ,retire,income,debtinc,creddebt,othdebt,default,jobsat,marital,spoused,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,card2,card2type,card2benefit,card2fee,active,bfast,tenure,churn,longmon,tollfree,tollmon,tollten,equip,equipmon,equipten,callcard,cardmon,cardten,wireless,wiremon,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,TotalSpend,birthmonth_August,birthmonth_December,birthmonth_February,birthmonth_January,birthmonth_July,birthmonth_June,birthmonth_March,birthmonth_May,birthmonth_November,birthmonth_October,birthmonth_September
region,1.0,0.41402633357641055,-0.01280973557078698,-0.02652545488968158,0.013850119126935484,-0.004717454831713668,-0.013767673567528197,-0.010203801224029935,-0.04284887170144493,0.03659429204081253,-0.006780541994349449,0.007582335075626081,0.03208117820219611,-0.006856350187853376,0.01563092951602437,0.056497902241694486,0.052967289782402394,0.04574325139648294,-0.012441857865970596,-0.021115696897063465,0.020746084173383247,0.0015991797327838553,-0.008930714948255246,0.023958691722622563,0.02200430698332172,-0.021204821244494187,0.04561954931952444,0.017051802071953694,-0.004960376172077176,0.01628049201654459,0.01665234730248471,0.008766252826654634,0.04019698916623824,0.03100436386612797,0.00980601332615337,-0.009820593026937852,0.05738826324025449,0.050646709323668285,0.18874125576191342,-0.011979247969100949,0.011721638620154715,-0.017045380485383062,0.05161124816420995,0.055817724157263444,0.062416052264682005,0.10100696145051959,0.09931720113783864,0.12694190242534498,-0.023518503868881855,-0.006292324124091834,0.00024139916599998524,-0.010910510252094262,0.008363464544588478,-0.01115678042070826,0.0026124114850132256,0.012007209903027536,-0.014424642681863614,-0.028101091581225736,-0.0006038401530690314,0.003786411279482318,-0.007267279250074594,0.008974083538118226,0.0031340221768164714,0.0021822886203795616,0.011803454696428925,0.005032686485919208,-0.002514595808404543,0.010870452186246379,0.013429109814927334,0.011870409580675569,0.006682762412939283,0.023630901153935423,0.028995509647470635,0.017117643438234468,0.02433569099908717,0.02129794287663288,0.023795267869299235,0.0314534732104126,0.03177301354225148,0.0233740103701467,0.021834861765981768,0.02292289061529944,0.018777936028457887,0.019668277079025017,0.023290497723290317,0.019332231792321127,0.02608453205274332,0.028630064216082458,0.009907836814210922,0.03277829642433193,0.0063382881461823215,0.02206062303825099,0.01131912358544654,0.04858873721619382,0.04022848898001522,0.020596103095384777,0.00750375526467471,0.02639122370644938,0.03662222783076409,0.012312041341883712,-0.01300439602693533,0.0058986728043478424,0.005694326401008566,0.039215605031510725,0.0027976045218485574,-0.03303444135291657,-0.015545786367236617,0.0027448426771237676,0.02065823944227918,0.005280728372914226,0.0007221073883815882,0.02129836263345604,-0.012230774742763482,-0.011575168010778845,0.01968334907902248
townsize,0.41402633357641055,1.0,0.009576267799388135,-0.0753988160833071,0.002967853358939119,-0.010768321178548748,-0.019845840498884392,-0.05922086953160253,-0.06577940581349055,-0.00947839741169845,-0.01954274443847905,-0.03922010340854962,-0.01453488811574808,0.023539678930301615,-0.03112097228962389,0.029922253532543512,0.02602810491153451,0.04437069762981913,-0.0009672092112519954,-0.018681872671421206,0.03165412107327239,-0.012533444482159055,0.009830326438479108,0.0016483601605570479,0.02092992145183683,-0.006999275749618273,0.024132851331609244,-0.003216738769957752,-0.04197978338520645,0.00350868477191262,0.015320920588505956,-0.009613930977080923,0.001887172329007478,0.0008606287148778633,0.0010188574976191427,0.009126582021563967,0.13563711010530113,0.13011149323526716,0.4869990339636079,-0.03207229839812893,-0.0049178949145991255,-0.01676988038553469,0.13187070384170194,0.11700288103241302,0.1003469367549849,0.18678865988804072,0.26076939467945126,0.2975227010212442,-0.021601378854422246,-0.0034798789245994175,0.0013638154254813377,-0.01498288613058503,-0.01658853099584193,-0.00543764675222928,0.026560624992920365,-0.00019557806644119466,0.0003221907838730332,-0.007635940996660647,-0.04213753943467905,0.007818650762242958,0.0017426930341134332,0.023063038711151892,-0.028920467617465934,0.022882113711107717,0.010587499507136576,-0.029943917992762584,0.0008877910405585357,-0.01716186209961371,0.0006637952802168088,-0.01629229527704926,-0.020630081966005753,-0.00631369765754982,0.0017381502688742151,-0.0077416363279712,-0.024764910849485313,-0.015165104456596844,-0.017098323667168458,0.007954177189378353,0.005392277300119043,-0.0068559685184714485,0.0045944530918076085,-0.006841998816300621,-0.004004926799157795,0.0030955735297465642,-0.0040069778862651334,-0.010482126314840233,0.0028580545851958567,0.0036833708088282314,-0.008284536316811223,0.02651330893768514,-0.0025113618662184205,-0.004500532004727501,0.016457716700055382,0.020715132510055145,0.022813352675699165,0.002638819997963387,0.00533312037970323,0.007898409969189312,-0.0005622498371033797,-0.028756060419971752,-0.006251576611045272,-0.010070167448719487,-0.007229761424536349,0.006132263506375086,-4.335242555756953e-05,0.019911922808642454,-0.02449961913023191,-0.008956567347492632,0.001581917387739142,0.005711404929291091,0.0020531175995683027,-0.0004982817266429283,-0.019297746223421754,0.02053949585401739,0.011269747647002289
gender,-0.01280973557078698,0.009576267799388135,1.0,-0.010185912956126955,-0.0007767204531758279,-0.016470317789787636,0.00031085789258203535,-0.011755734067414854,-0.021039891951677023,-0.0019485331920074584,0.004745840260109728,-0.006573839062527256,-0.008475462457219488,-0.001620451957323412,0.0017819121977811984,0.0038882706176081193,0.0014935434806088727,0.031147548880326562,0.02866361197201529,0.013703422556243454,-0.01318916958640941,0.024293134469313138,0.006000601750382497,0.012542729907352331,0.003987637470704162,0.02427989343629245,0.006350971910098897,0.0032001248082401037,-0.013454274553584528,0.014402503733709066,0.009135270484579669,0.013085756026875886,-0.00735719728302906,-0.0024082281013588784,0.005596929317453519,0.011661577203949449,-0.01041591071999073,-0.01176384374534002,0.009913969077212429,0.031083304410783552,-0.0017754467172351874,0.00324369165333787,-0.028759950032498337,0.0022919065312727157,-0.007104054017990956,0.013717527236574881,0.01940507440978124,0.005030103461682688,-0.006535926920568081,-0.014943963573984352,0.024776442994303254,0.004640389680021984,-0.015293529694547059,-0.03628365930900318,0.048497567702745874,-0.023830302737962255,0.025206661196465825,0.018446412543529175,-0.020110893458539794,0.030362494726068535,0.01868579096432926,0.006584014751461114,0.006799331384567836,0.021339546044192484,0.015647256568715847,-0.009465907811892228,-0.013391432152145109,-0.027644096229122176,-0.010861862353655835,-0.017373312767249145,-0.012014988952568154,0.011701769077373927,0.004848973903388582,-0.003416378758433567,-0.012769002569578483,-0.022725688723300053,-0.018585143588955754,-0.006170111687948815,-0.017111620573970004,-0.012747834325452538,-0.01983881383049967,-0.006052965959966811,-0.011541063859710883,-0.012860678571756462,-0.03969276292371042,-0.02492023471948803,-0.017734453442486444,-0.018901995467581343,0.02033532188797184,-0.000600304721067945,-0.004984105534077249,-0.0035697589115906542,0.012180538774173686,-0.002860503032320821,-0.0011159420271370786,-0.006962566283829168,-0.021319487443966147,0.0011643899517470469,0.009167199276695069,-0.020837290431122535,0.018057963940395,0.0013849308050523268,-0.00968506975214183,-0.07860501487684911,0.0037174300028229293,-0.016895809953774384,0.015167579802421723,0.0007037261520195683,-0.013058910144696276,0.007914035086650466,0.022452836901652274,-0.009947055445995124,0.005998458244308756,-0.003609887121811704,-0.025860435856815
age,-0.02652545488968158,-0.0753988160833071,-0.010185912956126955,1.0,-0.0939655681358492,0.03770872759291006,0.011205648935625449,0.7055151662165607,0.5675186183634663,0.20828641574685286,0.03903086445689694,0.14240062973632459,0.15451363452171066,-0.39420822661228944,0.4168071407919274,0.00303097168613744,-0.002796456083634339,-0.33833833739785285,0.02633411858911709,0.015743082639099376,0.013091438924110816,-0.013372999592973231,0.009332056365966323,0.0023259958549447426,-0.0032642047076485263,0.02350034471136185,-0.018264093420188574,-0.022518754158597776,0.824189032429262,-0.008368060219532097,-0.08156288852196932,0.010314755506231453,0.1757596942480202,0.14100304034317684,0.008255481559535004,0.01900129381846661,0.0005066785285256527,0.004161367909221694,-0.05631347480920274,-0.013161730265959582,-0.007201284255960651,0.03519818349390448,-0.003162276772870681,0.011042445154581736,-0.001310821564707304,-0.016591198023191242,-0.014098465276938936,-0.01168672517906018,0.015065007423175755,-0.02031193166445671,0.029140714179258766,-0.022450456876934095,0.011028128643780534,0.006615876375088497,0.009268334840650622,-0.0036121097490971845,0.00870802198000928,0.003981323987385985,0.734837528734498,-0.0069561535653394155,0.03828117939512875,-0.014995759121402016,2.996385304527174e-05,-0.23901144771925398,0.10965601013449904,0.6120137497145587,-0.2659762668756393,0.46866007996731823,-0.0026116921133925858,0.10688663274412179,0.26332843584054133,-0.14155035627969315,-0.10421186967228988,0.0915525392160985,0.2867212768355128,0.2947741512046718,0.4632267567088965,-0.0807472320209819,-0.025350135007038168,0.10872173516238554,0.23813593641912215,-0.07783311634340878,-0.0745010198284179,-0.12645828542594353,-0.01834315207222627,0.0015701788783353224,-0.002782664993098652,0.0022041363051844365,-0.12007796748067695,-0.07582403970891037,-0.027318133982960142,0.09919386921598056,0.09302852169436916,0.05509956404655627,-0.07442307759503139,-0.13328369369992407,-0.21752357770673295,-0.23522567139218836,-0.042090228334341694,0.36520424801308776,0.015139940649929112,0.013174960485531876,-0.026230829100045802,0.0072701720408658915,0.00018982389843892378,-0.012815919227877047,0.019206546393355187,-0.005792587067975646,0.02001227484536199,0.01068207072734862,0.013504119810043774,-0.017742022610691383,0.008049273616491782,-0.0298455847100693,-0.012905006022389412
ed,0.013850119126935484,0.002967853358939119,-0.0007767204531758279,-0.0939655681358492,1.0,-0.07285517908975016,0.0002728866207860611,-0.2146691923426891,-0.09262721506765735,0.18680166481220548,0.013870837611424179,0.12236187768587059,0.13586857849360015,0.11008006546968357,-0.0795868747535372,-0.021560636414581755,0.11392817406194948,0.022048089229776056,0.031113374153756475,0.008897703478885136,0.026018088445766478,0.009811612226273005,-0.002268256284104306,0.012165031440490926,-0.00543331642838303,0.020687961368145127,0.05107692425503879,0.018660166018272188,-0.055953795685678646,0.0029389876249384535,0.038881555239814757,0.013684421102720357,0.15766367871127987,0.10494732119559327,-0.0004396561896036811,-0.0020910451400135716,0.010801163917353066,0.011387017806159822,-0.008465310424580007,0.000983173723725403,0.0005743803708972322,-0.011309803184802451,0.008073566950934304,0.0013563345388264,0.04397390027029179,0.025737874660412125,0.004018471979506197,0.0052857238026835325,-0.0026126121058127165,0.002863102006193108,-0.0932716673011835,0.002693667668739359,0.01799651497213057,0.09734458045260007,-0.020479176913677715,-0.016853067354601417,-0.015035003568287141,-0.021935501939749934,-0.09409831881509152,-0.09169547692838365,-0.022365262761375532,-0.01187238993742869,-0.020142474971103764,0.01508802656088853,0.010378410275980542,-0.09507700575062518,0.23903598911621826,-0.09737708401682497,0.028519620053977093,0.01866163520912674,-0.013008312611786399,0.43633543908978223,0.448759482280476,0.34385390208067235,-0.04854252715184185,-0.03990923145042959,-0.08015318416019321,0.32998500171176215,0.34647571312466124,0.2649672237016721,0.2615033506426058,0.3339013752675588,0.315456158797064,0.463451025932086,0.04347806492855206,0.045767079760088494,0.038062672751651684,0.043884196147273596,0.427759057019968,0.028753627887561865,-0.009821372978810304,0.06494030688730676,0.06259507035746334,0.05367442654907232,0.30001597881764397,0.43562282994220797,0.3698310176631779,0.3770188151659686,0.27616275713570637,-0.07350992294890905,-0.11733266395307003,0.0737504639484463,0.10791239829181244,0.09807677696628561,-0.008569484552373526,-0.007883374774785137,-0.021278111446223633,0.009659370101156918,-0.002185880599798167,0.0016536300780966217,-0.008573809541043096,-0.02076544339732725,0.016814261609830457,0.025153752835329425,-0.008178220757426356
jobcat,-0.004717454831713668,-0.010768321178548748,-0.016470317789787636,0.03770872759291006,-0.07285517908975016,1.0,0.08477773724335763,0.4162337904342319,0.1737358252946339,0.10685237531419782,0.0036726135603757414,0.06848566317560255,0.07321670777866998,-0.08602224348125799,0.17170268847982503,0.003116214583175286,-0.003644218433640731,-0.014961464321850103,0.01170587762972797,-0.02139371540685303,0.0024608664427655624,0.0009992450600629554,0.007074530784999515,0.006446276757934321,-0.0016807811154914585,0.01859939471582526,0.028167310137192113,-0.022920499132203634,0.04801407877763756,0.018519084720964668,0.001892997523134689,0.010942308068279435,0.09482314347182215,0.05517308696290749,-0.0033719250945142554,-0.006662725327767736,-0.023440154288444905,-0.021748520339583594,-0.005062934430688781,0.025452244045061426,0.0022050939319620774,-0.010879734544979562,-0.006605338078458721,-0.002732033270964672,-0.027458384146337625,-0.01311481348584755,-0.016240757950110797,0.01186884373638082,-0.001659030486879604,0.015027574457338806,0.020041550354809614,-0.017910817344067163,0.0015294405907942885,0.018944607292306796,-0.020424065544171855,0.01221063624087023,-0.03130254074340811,-0.010978920445094839,0.1485281404302333,0.02012415136722747,-0.005357683799453854,-0.013699571285296612,0.029617447030307654,-0.028845525992238264,0.028366708018136916,0.1501168917396813,-0.06221073066801671,0.15772545566676993,0.013099740410393083,0.053688342391017684,0.0932787178575812,-0.04680932929604016,-0.0366228133428015,0.014404716710114335,0.09400186149787264,0.10654142955204605,0.15077192096917244,-0.015514928552958602,-0.001678694895152047,0.030530291317563078,0.08027876443843647,-0.029174744286687853,-0.025179549070989047,-0.03965328581107585,0.0028456534766389844,0.030651895422535137,0.019355159363718937,0.004103123671313948,-0.04253979697387248,0.0035506068776861464,-0.03043362918743744,0.025123582514733695,0.011965734242657428,0.022038144770403813,-0.009352225881295723,-0.03792944252226094,-0.026887992055816524,-0.05027830048014504,0.008409086642382787,0.09086051597615574,0.00013705351678807264,0.002887842972127801,-0.00841528416335608,-0.010591580608984722,-0.008274292492479794,0.008242957646863877,-0.0006945819006151215,-0.006296781130834334,0.013418306378904241,-0.0013177765466214646,-0.0038192025044324167,0.01747164797061923,-0.030736036922862926,-0.005305694625083601,0.02083431698409624
union,-0.013767673567528197,-0.019845840498884392,0.00031085789258203535,0.011205648935625449,0.0002728866207860611,0.08477773724335763,1.0,0.035272161681664964,0.016391578185363843,0.007587539708256046,-0.004926572927133884,0.0009245448541944325,-0.007085483893948929,-0.017210116796324615,-0.007664024475190081,-0.004504603236598992,-0.002181496737889596,0.0054069667177938695,0.023958865994215525,-0.020190878422637677,-0.006949374656064826,-0.011026486532729057,0.0228775301512088,0.00032723844427440626,-0.01618037234994665,0.0349764940386728,0.0023380329239252855,-0.0073120208727848884,0.0020885164455124376,0.003242800245340441,-0.001618485052464208,-0.002496166754927129,0.004754314895138027,-0.0058794487154299555,-0.030318062353667713,0.008234285808954656,-0.0038925879668620642,-0.0030557889478442317,-0.004822739913380462,-0.005170704232564426,0.021037691504477592,-0.0031131002359262683,-0.006748217435580088,-0.01575796701407889,0.0035682231964256892,-0.0038878046658894264,-0.017395261968863526,-0.005119540907176225,-0.003040647663683552,-0.006939178829584782,0.016913721737843345,0.006507217080820537,0.010179664905910846,0.004907104956710147,-0.025885832368563347,0.009338848852388702,0.005804658408063483,0.0064224284219206295,0.01519809813794038,0.0040698646251116286,-0.01654178577502157,-0.016842940419978327,0.004976068543164651,0.007502773458445351,0.007873981340102804,0.003614931807346736,0.008448820852362671,0.021776382561644936,0.015031598827906435,0.019443745163012942,0.009807309790135813,0.013374815817337805,0.01632402928879233,0.008603516864335607,0.019259129259997704,0.012993157125423505,0.012729468111392576,0.03121376540865836,0.02841980059487708,0.018847145945036944,0.03659902023036659,0.03393249116622862,0.034905481555602746,0.004662262722265871,0.0354930728522111,0.0143895020133505,0.0175056309958304,0.017470959670491004,0.0040517166739202975,-0.004957835160100253,-0.008693640588801602,0.005636076392702999,0.012555199394975495,0.006250670326297047,0.019564592968862878,0.006489376437016662,-0.005895171608928878,0.006765115379985228,0.02451630658002746,0.007508301495302348,-0.010491623272990998,0.006430579889827601,0.004478954400623966,0.02119123928079673,-0.004879234740238985,0.03263464819491079,-0.010491623272989293,0.000998264693380513,0.023433082488314674,0.009048786414189425,-0.01596744978520748,-0.010116794788916883,0.005503199545087129,-0.020331788025847796,-0.023707568957450492
employ,-0.010203801224029935,-0.05922086953160253,-0.011755734067414854,0.7055151662165607,-0.2146691923426891,0.4162337904342319,0.035272161681664964,1.0,0.5011823909996095,0.35044903854572595,0.03180059983708135,0.22551383445328937,0.24916467919467597,-0.329241801197688,0.4643546407814571,-0.006639273957588723,-0.029652200862130558,-0.24557292868605105,0.02499570366002575,0.007171066738836238,0.0037063057113323763,-0.009248850332616992,-0.0022531654803084264,0.009212876787918824,-0.00625080798625249,0.028055901819859442,0.020260715225671914,-0.042647707709750966,0.6094030249031256,-0.00016614966855618392,-0.03906692970844894,0.002151351074888806,0.29167430890740415,0.19753677511460807,0.006982014824962084,0.014130504639223745,-0.006915214964991384,-0.003750474336111735,-0.03091346141262475,-0.0007471717109232962,0.003572313213151732,0.027234674105166525,0.006973934142586099,0.003912348283550737,-0.020603737900912092,-0.02841365952595134,-0.012897561145992427,-0.0008738286408571113,0.015220762006541835,-0.006017294823829218,0.063017387225207,-0.022222803760669974,0.024053712756602216,0.02649448710292633,-0.0002917422056510866,0.005330384360999307,-0.002302972076029327,0.012275598819266802,0.6797567252898257,0.00013066030091231544,0.028572670092878994,-0.004384857578217324,0.022780417972145677,-0.16911930158715746,0.09252962244339091,0.5876773966162446,-0.25532906236874764,0.5209062596524551,0.023498273795300638,0.14676928916220675,0.30576493463119,-0.17447001633135226,-0.1347890059218347,0.04491796469169761,0.2918684549304353,0.32112066010823953,0.49007668106925667,-0.08028817036896181,-0.026268584690198573,0.10303903133586341,0.22256836789264753,-0.080196241090244,-0.08657190734642072,-0.15509005107408685,0.013483293364908989,0.03874898508140851,0.03065565420844226,0.029286257247055487,-0.15256297430908425,0.0158787456996271,0.00023313571835747283,0.12770214631747326,0.12516322762113294,0.10743513378867131,-0.0697749335036927,-0.16202771293505946,-0.1988378957405001,-0.2186767935820243,-0.04058694980366895,0.36877767473883744,0.03908528414092226,0.014410157552440628,-0.029312286330170873,0.06952177748015614,-0.003698116070876751,0.0005549804563841977,0.024680091775057842,-0.008892307581395201,0.015297619674432028,0.008642456014281196,0.015013488786830238,-0.013903654170012695,0.002811628135816114,-0.03417617996564794,-0.004174461331500057
retire,-0.04284887170144493,-0.06577940581349055,-0.021039891951677023,0.5675186183634663,-0.09262721506765735,0.1737358252946339,0.016391578185363843,0.5011823909996095,1.0,-0.2604842405713485,0.024039067541956317,-0.158139161960587,-0.18213849675880783,-0.21148168145595858,0.16246163673025263,-0.001566030341360231,-0.013853853043364237,-0.1786458885133657,0.027544174923359904,0.01239956917178974,0.0003686842416849254,-0.0088107501535688,0.002269329091899103,0.0024899908703605762,0.008918541126482082,0.026401060695765647,-0.09416155391706563,0.051154987417795644,0.41317325391453064,-0.037457194904948504,-0.17251661680012265,-0.006685615034245426,-0.24181104468762782,-0.15925770781417792,-0.013977244472066625,0.006553161913762902,0.015580993024522313,0.019094842738719225,-0.020171359874881147,-0.024278226663314244,-0.003193917753391643,0.034741568242780796,0.0061680070454176285,0.0016994676927667525,0.004980426171306323,-0.008690528929082028,0.0031949785021128468,-0.03390157842902221,0.036447918058789656,0.00851631669226357,-0.04894318441781876,-0.005192638755993165,-0.005212625622157736,-0.046586326572467175,-0.014315191526364254,-0.017225578003611672,0.007429501340497206,-0.007293472785792974,0.40788714852209673,0.03675913360978089,0.023988609868769148,0.0014677245218332764,0.02001507400569752,-0.11518867639872232,0.031782857252137774,0.34675306706304865,-0.15153149891902157,0.30869172209628104,-0.08918675036596083,-0.04191828080993539,0.05380067424905232,-0.10172451829707745,-0.09083140614353138,0.01602059617920227,0.16064119156149834,0.17424498070899375,0.2877659159870667,-0.1302038248785586,-0.10535693932218805,-0.03950849901355575,0.1427615360850251,-0.10381727355185469,-0.11924098737887387,-0.08143631429373364,-0.08659877358534955,-0.0874764979326981,-0.08089789132113344,-0.08890857715776906,-0.06657784666338973,-0.1982604029004373,-0.10425420933458097,-0.14545801638402978,-0.15500812104258477,-0.16531799028450186,-0.0975584717867479,-0.08890592151346934,-0.13278886501384185,-0.15175898263448118,-0.0705643475518697,0.21370661598819043,-0.0034566075398345343,-0.019784287424269728,-0.038500199644496746,-0.1982517934160853,-0.01636095832889932,-0.0015515291000576677,-0.005493740696265494,0.0020489824974517304,0.02671242157619478,0.002048982497454713,-0.006944634184538106,-0.00505377878985691,-0.016422210861029067,-0.0010604410504255883,0.01055378425567537
income,0.03659429204081253,-0.00947839741169845,-0.0019485331920074584,0.20828641574685286,0.18680166481220548,0.10685237531419782,0.007587539708256046,0.35044903854572595,-0.2604842405713485,1.0,0.011585930898614986,0.6275776037551266,0.6962266982454995,-0.017053334916004362,0.2622462626919935,0.007572886506352515,0.03549061260581422,-0.07338113015267204,0.008424494193365172,0.0006564483865279184,0.02283098636064982,0.0018404690778236045,-0.0019560303910207896,-0.008239008219417636,-0.011377029740317736,0.005421256970860075,0.14387269583717097,-0.09463861699674192,0.26061237641263224,0.04480679874015514,0.15605473206216203,0.055518224564588964,0.8368401796799438,0.5372835831836084,0.07128501713769246,-0.009585402004490914,-0.025542505115157977,-0.030354685907862458,-0.022761096621022776,0.037195181162755886,0.008209297232887372,-0.005096753468328103,-0.003494010422233824,0.006248654635184443,0.0022896629448978254,-0.01979299826481176,-0.0011975589434453705,0.00868378513651678,-0.0022094079615722208,0.0018277110075995762,0.08064596308900815,0.010850298931755752,0.03979971098459748,0.1263274114743205,0.023887386745406396,-0.0026675775822220223,-0.018985277018729582,0.004045540364584067,0.2751625953018675,-0.06867792096938687,0.0004947197286410474,-0.011805930054628242,0.0029678413730966947,-0.0700158086336315,0.08066343051477302,0.23700293240505912,-0.046093009908290766,0.19364870828845118,0.15929896880931937,0.23970507511535324,0.2857818993359709,0.06583483375661082,0.1120478405460408,0.16440493796174277,0.15614898673602667,0.16496886710135972,0.19701194267089295,0.16485632306487896,0.21510101903281273,0.2530342240997137,0.16337689733499738,0.13172998714240142,0.15192642806458476,0.07219956668150643,0.1481172117100619,0.17314680460697562,0.14512334776707944,0.16330874771210657,0.056130792678740105,0.11494920730861459,0.05509969996652242,0.22660569778151632,0.22947628509009063,0.20648056045240445,0.14506072484862687,0.04926982550054102,0.03292162156390578,0.040451583078435445,0.14938823316731603,0.13872953606905733,-0.0024403733689252792,0.06289534629267576,0.0530108341404051,0.35585143117743656,0.007474265319940355,-0.0010100516661782598,0.009556171400004858,0.004544155127163082,-0.008630376728963579,0.012302582061191513,0.010886044615123422,-0.014964659922918813,0.01738352551478814,-0.013341556668472228,-0.02320623894927919
